rpm\thr,0.1,0.325,0.55,0.775,1
680,108477.9730,666202.3966,830545.3816,822944.4098,828732.8847
1653.25,29261.2768,937230.1658,1174739.4543,1349350.3067,1356637.7335
2626.5,34173.6325,744426.3832,1122926.0733,1339367.8801,1409755.3287
3599.75,41209.7134,610445.9994,1124414.2954,1312057.5423,1387017.0957
4573,48095.6418,564692.9825,1098806.9528,1245736.1905,1309545.3249
5546.25,54387.9033,522540.5036,1013803.4389,1122235.2816,1171826.2691
6519.5,60103.3572,482301.4015,921685.0249,1013901.4500,1049423.6304
7492.75,65184.9603,424853.6405,871549.7726,949593.0362,973871.7205
8466,69672.9141,455475.9849,820786.4464,882138.6671,902681.5617
