rpm\thr,0.1,0.325,0.55,0.775,1
680,130478.0411,670377.4400,856280.1744,864639.6986,872724.6649
1615,31741.6144,1121984.1387,1623729.2616,1880490.5202,1887319.7422
2550,39538.3396,957047.0820,1742737.9782,2154262.6588,2283954.0108
3485,46250.5044,1170831.6290,1880756.6344,2283788.0124,2415293.7015
4420,49669.5915,166315.1363,1952571.1224,2338813.2931,2489184.8559
5355,53168.5826,176564.0811,1912376.2138,2278606.9206,2391999.9528
6290,57383.1909,176592.8149,1773901.4801,1993895.7910,2103868.3263
7225,62546.0437,177806.7885,1567317.1181,1733693.2362,1759080.9480
8160,68201.4441,180170.5963,1421462.8910,1565374.7370,1590621.4442
