rpm\thr,0.1,0.325,0.55,0.775,1
720,112730.5363,713466.8728,925137.6071,904045.6488,890974.7257
1713.75,30735.7154,876215.7984,1135154.3002,1306668.7649,1322599.5682
2707.5,36483.9323,742544.7757,1122226.6965,1350718.5826,1418760.1440
3701.25,43426.3946,590852.8243,1104803.0736,1297607.8601,1371543.6752
4695,50133.4893,556782.8193,1085109.4048,1229261.7338,1292479.9872
5688.75,56241.6882,529304.7274,1004443.7560,1104614.3398,1152085.4233
6682.5,61710.8383,482381.6660,919592.3510,997432.3639,1029565.9928
7676.25,66532.7078,426644.5848,856282.1824,920222.9759,940596.7250
8670,70854.7023,469044.2240,801926.8489,853501.2733,869461.0708
