rpm\thr,0.1,0.325,0.55,0.775,1
600,0.2076,0.9362,1.1984,1.1772,1.1527
1481.25,0.0990,0.8846,1.2575,1.4944,1.5149
2362.5,0.0741,0.7378,1.3062,1.5995,1.6892
3243.75,0.0673,0.6942,1.3365,1.5934,1.6817
4125,0.0639,0.5628,1.3581,1.5905,1.6694
5006.25,0.0621,0.5384,1.3681,1.5104,1.6238
5887.5,0.0612,0.5429,1.3167,1.4601,1.5025
6768.75,0.0614,0.5678,1.2048,1.1106,1.3334
7650,0.0624,0.3044,1.0627,1.1427,1.1544
